"Territorial emissions in MtCO₂"
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,"Antigua and Barbuda",Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina",Botswana,Brazil,"British Virgin Islands","Brunei Darussalam",Bulgaria,"Burkina Faso",Burundi,Cambodia,Cameroon,Canada,"Cape Verde","Cayman Islands","Central African Republic",Chad,Chile,China,Colombia,Comoros,Congo,"Cook Islands","Costa Rica","Côte d'Ivoire",Croatia,Cuba,Curaçao,Cyprus,"Czech Republic","Democratic Republic of the Congo",Denmark,Djibouti,Dominica,"Dominican Republic",Ecuador,Egypt,"El Salvador","Equatorial Guinea",Eritrea,Estonia,Ethiopia,"Faeroe Islands","Falkland Islands (Malvinas)",Fiji,Finland,France,"French Guiana","French Polynesia",Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,"Macedonia (Republic of)",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands",Martinique,Mauritania,Mauritius,Mexico,"Micronesia (Federated States of)",Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,"New Caledonia","New Zealand",Nicaragua,Niger,Nigeria,Niue,"North Korea",Norway,"Occupied Palestinian Territory",Oman,Pakistan,Palau,Panama,"Papua New Guinea",Paraguay,Peru,Philippines,Poland,Portugal,Qatar,"Republic of South Sudan",Réunion,Romania,"Russian Federation",Rwanda,"Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines",Samoa,"Sao Tome and Principe","Saudi Arabia",Senegal,Serbia,Seychelles,"Sierra Leone",Singapore,Slovakia,Slovenia,"Solomon Islands",Somalia,"South Africa","South Korea",Spain,"Sri Lanka",Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,"Trinidad and Tobago",Tunisia,Turkey,Turkmenistan,"Turks and Caicos Islands",Tuvalu,Uganda,Ukraine,"United Arab Emirates","United Kingdom","United States of America",Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Wallis and Futuna Islands","Western Sahara",Yemen,Zambia,Zimbabwe
1995,1.2421,2.0848,95.2164,0.42502,10.9664,0.065952,0.2748,127.8589,3.4075,1.6671,305.2608,64.2067,33.3058,1.6818,14.8062,22.7974,0.82806,56.2113,125.7625,0.37739,1.3264,0.53128,0.24915,9.8415,0.23224,3.4258,3.0448,258.1361,0.084272,4.7852,57.5227,0.62654,0.23816,1.5499,4.2246,495.5107,0.12091,0.36274,0.2345,0.10992,41.711,3317.5688,59.5656,0.07328,1.5645,0.040304,4.8621,6.6135,16.9928,25.6883,4.4698,5.848,129.737,2.1215,62.1488,0.30411,0.080608,15.8724,22.8231,95.6451,5.0233,0.12824,0.93432,18.2048,2.5611,0.57158,0.043968,0.76211,58.1243,397.8342,0.58258,0.42869,4.6203,0.19786,2.301,938.1501,5.2725,0.2748,86.9456,0.50197,0.15022,1.4619,7.1595,1.2897,0.1832,1.4619,0.90134,3.8765,31.4444,61.6078,2.3123,810.8982,224.7571,272.7188,74.2876,35.7932,51.0578,447.5134,9.171,1243.8489,13.5458,168.2869,7.5478,0.029312,54.7768,4.525,0.34808,9.1452,13.5678,1.7074,0.3261,45.9832,0.20405,15.0242,9.1244,1.2311,10.8308,1.2641,0.91966,121.0329,0.24915,0.46899,2.3605,0.065952,1.6378,1.0736,1.8283,332.5446,0.10626,11.1825,7.9142,1.7138,0.032976,30.3489,1.1139,6.9543,1.6305,0.10626,2.0335,172.8586,2.0738,28.1516,2.7773,0.80974,35.8119,0.007328,82.843,38.4767,0.94531,15.8834,84.4149,0.2345,2.9825,2.0592,3.9608,23.8636,60.6612,361.3052,54.5327,31.7632,0.35785,1.7624,125.4588,1629.6017,0.46166,0.010992,0.12824,0.31144,0.069616,0.12824,0.11725,0.047632,234.9687,3.4918,38.832,0.19786,0.39938,42.1397,44.7792,15.2447,0.1429,0.5899,361.9629,374.4645,267.2847,5.899,3.9364,2.0628,0.45434,59.2927,43.4234,41.6304,174.2049,2.4476,3.5504,161.0218,,0.95264,0.095264,17.0083,15.7222,181.4186,33.9726,0.047632,0.007328,0.93798,390.073,70.5833,559.7831,5450.306,4.5873,103.3504,0.065952,133.2414,29.0665,,,10.4571,2.1691,15.1177
1996,1.1761,2.0152,97.0191,0.45434,10.4497,0.069616,0.29312,134.8902,2.5611,1.6891,312.1849,67.674,31.2319,1.6671,15.6086,24.0102,0.85005,57.4604,129.2719,0.30778,1.2641,0.52762,0.30045,9.8195,0.21724,4.2539,2.7553,284.5499,0.095264,4.8658,57.9267,0.70715,0.24182,1.6158,4.4591,510.268,0.1429,0.38472,0.2345,0.12458,48.4601,3460.256,60.478,0.076944,1.7148,0.047632,4.7449,7.8336,17.5879,26.9744,4.1813,6.1561,132.2019,2.3156,75.4595,0.31144,0.07328,17.3124,24.1714,101.9471,4.5653,0.11358,1.0113,18.9267,2.8579,0.6009,0.043968,0.82074,64.0403,411.6401,0.48731,0.43235,4.7705,0.19786,4.0634,958.3706,5.6059,0.28213,89.0986,0.51662,0.15389,1.5499,6.6465,1.363,0.1832,1.5169,1.0332,3.9571,29.0995,63.1698,2.4022,881.6024,253.0835,275.8332,69.4438,37.4096,53.0547,440.6843,9.6949,1256.698,14.176,154.7101,9.3212,0.032976,50.1125,5.6902,0.47632,9.2204,13.7473,1.7367,0.33709,44.1219,0.20581,15.6785,9.1711,1.407,11.7321,1.363,0.91234,125.2722,0.28946,0.48731,2.4534,0.065952,1.6378,1.1139,1.9492,346.1344,0.10626,11.5123,8.0352,2.006,0.03664,31.1696,1.0406,7.2511,1.7477,0.10259,2.4842,182.3314,2.1947,29.3749,2.8726,0.90134,39.6335,0.007328,73.1994,41.5932,1.0369,15.092,94.37,0.2345,4.6203,2.1874,3.7483,24.3693,62.1121,375.3062,51.827,32.2725,0.36915,1.9419,128.7896,1581.3849,0.47998,0.010992,0.1319,0.3261,0.069616,0.1319,0.12458,0.047632,258.5392,3.7373,45.4538,0.2345,0.47266,49.6582,45.0819,15.9061,0.1429,0.56792,364.1027,403.4504,254.9071,7.0569,4.0606,2.0848,0.34075,63.2182,44.1529,42.7699,182.3573,2.8249,3.4588,180.1076,,1.0589,0.076944,20.5734,16.7445,197.456,30.6457,0.047632,0.007328,1.0589,351.4329,41.0258,581.7014,5636.2975,5.4374,106.0838,0.084272,122.7037,34.6395,,,10.6293,1.8686,14.9821
1997,1.0955,1.5425,87.2692,0.46533,7.3756,0.069616,0.30778,137.891,3.2316,1.7441,320.5581,67.4541,29.7847,1.363,17.3051,25.0434,0.90134,61.2067,123.7456,0.38838,1.2164,0.52395,0.39205,10.9334,0.22735,8.3869,2.7993,300.3014,0.098928,5.0563,55.135,0.80608,0.24915,1.5389,3.2133,524.6451,0.14656,0.4067,0.24549,0.1429,56.3487,3466.6716,64.8565,0.080608,2.3413,0.047632,4.983,7.5625,18.6665,24.6294,4.3757,6.287,128.84,1.898,66.0729,0.3261,0.080608,17.9866,18.3456,108.1136,5.4704,0.28946,0.8647,18.4841,3.0484,0.5899,0.047632,0.79142,62.7038,404.7245,0.46899,0.45067,4.7925,0.19786,4.4334,930.7704,6.3607,0.29312,93.8042,0.52029,0.16854,1.6048,7.5918,1.418,0.20152,1.5902,1.3667,4.155,30.6787,61.7492,2.4895,916.9343,278.431,269.0732,68.253,38.7507,55.8357,444.4628,10.1236,1254.5682,14.4068,146.2123,8.2587,0.025648,54.8757,5.6059,0.60822,8.6803,15.6343,1.7697,0.34808,44.939,0.21823,15.0895,8.523,1.4876,10.6256,1.6488,0.96363,124.7189,0.32976,0.52395,2.4558,0.065952,1.6305,1.1175,1.9969,369.4668,0.10992,7.0935,7.7017,2.1553,0.032976,31.8365,1.1248,7.4929,1.7954,0.10259,2.781,174.9857,1.8283,31.3556,3.14,0.90867,42.2936,0.007328,65.7908,41.6915,0.8647,15.4731,94.6338,0.23816,5.6426,2.5758,4.1916,27.4544,71.0999,366.5715,54.8235,37.4644,0.45128,2.2314,120.0051,1502.1682,0.4983,0.010992,0.1429,0.30778,0.047632,0.1319,0.12824,0.047632,216.0624,3.261,48.8366,0.34075,0.44334,58.3822,45.1369,16.2332,0.1429,0.53861,385.8155,429.6809,267.6408,7.6101,4.9641,2.1068,1.2018,58.1412,43.0428,40.9269,196.3281,2.1508,2.8799,185.7648,,0.98562,0.098928,18.3786,16.9313,209.8664,30.5981,0.05496,0.007328,1.1065,340.2299,41.612,556.4758,5713.3634,5.551,107.1464,0.084272,133.8789,45.0635,,,13.348,2.3889,14.3959
1998,1.0406,1.7514,106.9119,0.49098,7.3024,0.076944,0.31877,139.701,3.3599,1.7954,334.4268,67.0549,31.6496,1.6781,18.3896,24.0285,1.1395,57.6754,129.9749,0.37006,1.2128,0.52029,0.38106,10.981,0.012549,10.5853,3.3416,312.0336,0.10259,5.2652,52.467,0.86104,0.24915,1.9492,3.206,532.9212,0.15755,0.42869,0.24915,0.15022,57.5944,3321.6248,65.9227,0.087936,0.77677,0.047632,5.3128,6.9066,19.3724,24.4792,0.24153,6.5803,123.647,1.6671,61.8143,0.3151,0.076944,18.3823,22.442,122.1431,5.8074,0.16488,0.5899,16.9115,3.217,0.62288,0.03664,0.76944,59.3574,425.7044,0.61189,0.44701,4.9757,0.21251,4.9574,922.7803,6.3973,0.30778,98.6248,0.52762,0.17587,2.0702,8.746,1.5022,0.17221,1.6561,1.2311,4.646,39.0692,61.3405,2.4982,935.4558,214.0252,308.256,72.3127,40.6481,57.0485,456.1031,9.7096,1219.612,14.5314,141.1273,10.0284,0.029312,51.7027,5.9503,0.68517,8.3031,16.6346,1.8027,0.37373,45.4373,0.22911,15.9068,7.6394,1.5572,12.6152,1.7367,0.93432,114.0933,0.30045,0.76211,2.4724,0.069616,1.6268,1.1212,2.1691,388.7687,0.11725,6.2654,7.7017,2.2692,0.029312,32.0124,1.1322,8.0718,1.9053,0.098928,2.2497,176.075,1.81,29.934,3.4185,0.9563,37.8381,0.007328,59.071,41.948,1.4619,16.5466,97.5833,0.23816,5.943,2.8616,4.4994,27.7841,69.1836,337.3429,59.2972,32.3751,0.39113,2.5172,103.9323,1476.6801,0.48731,0.010992,0.15022,0.30778,0.05496,0.16122,0.1319,0.047632,207.5106,3.4258,51.4158,0.43235,0.41403,48.5773,44.1156,15.9485,0.1429,0.51296,377.4176,364.535,276.11,7.819,4.3025,2.1068,1.2128,58.7178,44.6076,50.2334,199.71,2.4952,2.5538,164.2132,,1.1652,0.087936,19.1078,17.9866,210.0428,32.0673,0.058624,0.007328,1.2641,321.0521,81.4287,560.4797,5753.8252,5.6829,119.047,0.080608,167.203,47.4744,,,12.1901,2.312,14.242
1999,0.82074,2.9825,91.9701,0.51296,9.149,0.080608,0.32976,146.8641,3.0118,1.8064,343.8504,65.7022,28.5536,1.6744,18.0049,25.2156,1.2091,55.2975,124.3916,0.34808,1.5609,0.51296,0.38472,10.4351,0.094035,10.3691,3.1584,319.9112,0.10259,3.9058,46.0343,0.93066,0.25282,1.8943,3.0778,548.6407,0.1832,0.42869,0.26381,0.16122,61.4526,3315.3411,56.4659,0.0916,0.82074,0.047632,5.518,6.2618,20.2157,25.3109,1.8099,6.8476,115.4165,1.3813,59.2313,0.3151,0.080608,18.5472,21.4784,125.2905,5.6939,0.46533,0.61922,15.7292,3.1547,0.63021,0.03664,0.7841,58.8804,416.6197,0.46533,0.49464,4.8035,0.23083,4.3418,895.3385,6.5439,0.31877,97.9417,0.53861,0.19419,1.8906,8.9218,1.5792,0.19419,1.6781,1.33,4.7376,42.6819,61.821,2.7044,994.9519,241.791,382.027,72.2248,42.3753,55.6488,460.7094,9.9697,1254.575,14.5571,115.8872,10.1639,0.029312,53.978,4.6679,0.92699,7.7118,16.477,1.8247,0.39205,44.5836,0.22643,13.426,8.091,1.5169,11.7138,1.9163,0.94165,107.8462,0.42136,0.79509,2.5815,0.065952,1.6305,1.1468,2.4256,391.2712,0.10992,4.4994,7.5478,1.5648,0.029312,33.1262,1.1871,8.9621,1.6635,0.0916,3.217,170.6771,2.0555,31.5289,3.6237,0.95264,40.2527,0.007328,64.4791,42.6997,1.3667,20.6906,100.302,0.24182,5.6645,2.4439,4.4994,29.334,69.103,327.6537,66.9109,31.3822,0.42411,2.5685,88.2002,1512.7531,0.5093,0.010992,0.16122,0.31877,0.05496,0.16488,0.13557,0.047632,226.274,3.697,35.4562,0.5093,0.3664,50.0283,43.2833,15.3237,0.15022,0.49098,374.9298,399.5372,299.8628,8.6104,4.6652,2.1251,1.2384,55.8499,44.4295,52.3292,206.9574,2.5172,2.5355,175.9819,,1.5352,0.10992,22.5263,18.3163,206.9737,37.6476,0.065952,0.007328,1.3117,292.2907,78.3107,553.1759,5834.2247,6.7198,122.9345,0.084272,172.9811,47.654,,,13.8829,1.8064,15.8212
2000,0.7731,3.0191,87.7894,0.52395,9.5337,0.087936,0.34442,142.0203,3.4625,2.3779,349.9839,66.3456,29.4842,1.6671,18.6278,27.8464,1.1871,53.9507,126.5223,0.39571,1.5975,0.51662,0.39571,11.058,0.24951,13.7766,3.7776,327.7155,0.10259,4.7082,45.1601,1.0406,0.27114,1.9749,3.4295,570,0.21618,0.46533,0.26747,0.17587,58.7669,3402.3941,57.8765,0.10259,1.0479,0.047632,5.4704,6.7857,19.7891,26.062,4.8023,7.0959,125.7882,0.81341,54.9636,0.34075,0.10259,19.7746,20.7016,141.2106,5.7378,0.45434,0.60822,15.3626,3.5468,0.68883,0.03664,0.84272,57.0256,414.6885,0.46533,0.56792,4.6899,0.24549,4.5324,899.2864,6.2838,0.33342,102.9823,0.53128,0.19053,1.9126,9.9075,1.6415,0.14656,1.6085,1.3667,5.027,40.4066,58.5447,2.7575,1031.0093,263.2034,371.9326,72.386,45.1929,60.2105,466.2406,10.2995,1275.7771,15.4951,139.7874,10.4094,0.029312,53.5164,4.6313,0.93798,7.073,15.2349,1.8503,0.42136,47.0751,0.21672,11.8061,8.6732,1.6305,12.0546,1.8723,0.86837,125.6312,0.45067,0.82074,2.4178,0.076944,1.7404,1.1725,2.6894,398.057,0.12458,3.5101,7.5002,1.7384,0.025648,33.8773,1.3484,10.0797,1.6415,0.084272,3.0668,171.6502,2.2314,32.3586,3.7593,0.69616,75.995,0.007328,69.605,42.2021,1.6598,21.8777,106.3623,0.24915,5.7855,2.6637,3.686,30.272,73.247,317.0986,65.6829,34.7017,0.46075,2.8579,92.958,1504.2925,0.52762,0.010992,0.17221,0.32976,0.05496,0.14656,0.1429,0.047632,296.6924,3.9351,39.39,0.57158,0.42502,48.9657,41.2658,15.4304,0.15022,0.47998,378.3556,447.1949,311.9337,10.2299,5.0682,2.1947,1.1871,54.7272,43.6069,50.9992,218.8617,2.235,2.6491,181.1225,,1.3593,0.095264,23.8197,19.9065,227.7186,37.5084,0.069616,0.007328,1.429,279.5137,112.4701,560.5817,6001.3559,5.3018,121.7291,0.084272,152.2978,53.6007,,,14.6304,1.821,13.9122
2001,0.81707,3.2207,84.1511,0.52395,9.7243,0.095264,0.34808,133.6114,3.5394,2.4072,357.462,70.4567,28.7477,1.5682,13.9159,32.4301,1.2201,54.0425,125.8498,0.44701,1.8137,0.52762,0.38472,8.6141,0.25407,13.3516,3.8472,337.1576,0.10626,4.5031,48.8634,0.99661,0.20518,2.2497,3.4185,562.6623,0.2345,0.46899,0.24549,0.17221,53.2965,3484.7132,56.2277,0.10259,0.76578,0.032976,5.7561,7.72,20.9431,25.4318,4.8902,6.9695,125.4865,0.83539,56.4878,0.3664,0.10992,19.8003,23.0979,125.3491,5.943,3.0924,0.63021,15.7086,4.3492,0.76211,0.043968,1.0552,62.5248,415.5214,0.5093,0.67784,4.7962,0.25282,3.7666,915.6358,6.914,0.34442,105.369,0.53861,0.19419,2.0738,10.6183,1.7184,0.15022,1.5938,1.5682,5.7085,37.9261,60.1647,2.7629,1040.3012,294.6662,398.1119,85.2723,47.5571,63.5448,472.5421,10.6073,1259.0036,15.9897,132.6027,9.3615,0.025648,57.5944,3.8912,0.87203,7.4843,16.1582,1.876,0.49098,48.0607,0.21455,12.5145,9.1661,1.6854,11.9886,1.7404,0.8647,135.5094,0.46166,0.82806,2.5999,0.080608,1.8173,1.2714,2.8616,412.6397,0.16854,3.7116,7.8776,1.8676,0.025648,37.6842,1.5792,8.7167,2.0152,0.080608,3.2646,176.8628,1.887,34.5871,3.9608,0.65586,85.6643,0.007328,72.1661,43.5397,1.3484,20.2692,108.1943,0.25282,7.0019,3.206,3.8179,27.1429,70.9937,313.547,65.3622,41.3629,0.53036,3.0375,98.4923,1542.63,0.53128,0.010992,0.17587,0.36274,0.05496,0.17954,0.14656,0.051296,296.9709,4.3272,42.3166,0.63387,0.56792,49.5006,43.5736,16.3636,0.15755,0.50197,371.7384,449.8256,313.8311,10.4351,5.834,2.3669,1.1432,55.6865,45.0698,48.7385,227.9704,2.29,3.1254,194.4412,,1.1615,0.087936,26.3332,20.8005,211.6568,38.0433,0.07328,0.007328,1.5096,301.2738,101.3316,569.9545,5902.7048,5.0856,123.3522,0.087936,172.4462,61.0899,0.014656,,16.1949,1.9053,12.5858
2002,1.0699,3.7483,89.834,0.53128,12.6555,0.095264,0.37006,124.6126,3.0411,2.4366,361.9665,72.1988,29.5905,1.5755,15.6856,33.6795,1.2274,54.0899,126.1751,0.43235,2.0775,0.55693,0.4177,10.3874,0.24495,14.2896,3.9754,331.995,0.11358,4.3748,46.1053,1.0039,0.21251,2.2057,3.4148,567.4723,0.2748,0.48731,0.24549,0.16854,55.1176,3847.1194,55.6159,0.10259,0.57525,0.029312,6.3204,7.2804,22.0311,26.0694,4.7145,7.1604,122.5378,0.92699,56.1216,0.39938,0.10259,21.3135,24.9299,127.0895,6.0346,4.9757,0.60456,15.2338,4.5177,0.72547,0.043968,0.89035,65.0446,411.771,0.458,0.70715,4.569,0.28946,3.3855,899.1628,7.4159,0.34808,105.0114,0.53861,0.20518,2.1105,11.0873,1.8027,0.15389,1.5792,1.8247,6.0859,39.6042,59.1558,2.8548,1053.3963,306.4863,401.4315,87.1885,46.0271,59.7635,474.571,10.2336,1296.0547,16.8727,150.3867,7.9619,0.040304,58.1807,4.9537,1.1505,7.5118,15.9897,1.9053,0.48731,47.7932,0.2199,12.6205,9.9424,1.5169,10.926,1.2348,0.85005,133.6334,0.59357,0.84638,2.6142,0.084272,1.7844,1.3484,2.8836,414.0503,0.1429,3.9828,8.2806,1.9966,0.03664,38.2228,1.5865,9.2003,1.7587,0.076944,2.6234,176.1175,2.4036,34.7685,4.0341,0.69982,93.6005,0.007328,69.169,42.6617,1.1542,25.4501,113.9907,0.24915,5.8661,3.4845,3.8948,27.1649,71.2795,305.7318,69.1991,40.8719,0.67601,3.0155,98.5761,1531.3255,0.53128,0.010992,0.19786,0.3261,0.058624,0.18686,0.14656,0.058624,326.14,4.5067,45.2397,0.53861,0.60822,47.1923,41.7362,16.5085,0.15755,0.58624,356.346,465.2511,333.912,11.047,7.4361,1.5645,1.1248,56.6392,43.4454,39.0326,237.647,1.8796,3.5871,208.1518,0.16122,1.2311,0.10259,28.5975,20.8445,219.9057,39.9339,0.098928,0.010992,1.5572,294.1686,84.6347,553.8492,5943.9462,4.6166,128.2437,0.084272,193.1588,70.7482,0.025648,,15.7515,1.9822,11.9556
2003,1.1945,4.2905,91.5011,0.53494,9.0574,0.10259,0.40304,134.9524,3.4258,2.5611,368.785,77.8612,30.5907,1.5169,16.455,35.6434,1.2677,55.3936,127.6592,0.43235,2.3523,0.56059,0.37739,11.0836,0.24511,14.4765,3.8252,321.3584,0.12091,4.5873,50.3355,1.0772,0.16122,2.3779,3.7922,584.9529,0.30778,0.49464,0.2345,0.38106,55.5572,4536.7025,57.3746,0.1319,0.916,0.032976,6.6208,5.4557,23.3552,25.4648,4.7177,7.5501,126.0925,0.98562,61.2751,0.42136,0.11725,21.4967,26.9451,147.8424,6.5476,6.0126,0.72547,17.0879,4.983,0.7328,0.047632,1.0479,72.6437,418.7398,0.6009,0.76944,4.6386,0.28946,3.7703,900.3788,7.6248,0.35541,109.0832,0.53128,0.21618,2.2277,10.8198,1.8796,0.19419,1.5645,1.7331,6.7637,43.3231,61.9307,2.8467,1098.698,316.533,418.0954,91.0431,45.6276,62.8376,488.2691,10.6586,1301.1029,17.4553,166.6064,6.7491,0.040304,59.8734,5.4337,1.0992,7.7068,18.1661,1.9309,0.52029,49.1269,0.2292,12.6099,10.4117,1.5316,11.2998,1.7001,0.916,158.1272,0.50563,0.84272,2.8861,0.084272,1.9969,1.3887,3.0594,439.8485,0.1429,4.2869,8.0278,2.1352,0.03664,37.5304,1.9163,9.8378,1.8723,0.065952,2.8396,179.583,2.737,36.4951,4.4078,0.75845,101.5331,0.003664,70.6932,43.9147,1.2787,32.3641,118.7979,0.25282,6.1482,3.9425,4.067,26.3588,71.3674,318.417,64.0761,41.4875,0.75539,2.9752,103.0511,1568.6424,0.52029,0.010992,0.19786,0.35907,0.065952,0.19786,0.15389,0.065952,327.0047,4.972,48.3804,0.5496,0.65219,31.1074,42.2006,16.2704,0.16122,0.59357,404.1282,465.8336,338.1124,11.0689,8.3093,1.5425,1.0406,57.2215,44.6582,54.2309,246.3637,2.0738,3.8032,224.3907,0.16122,1.4619,0.11725,31.9611,21.2292,235.2683,44.5652,0.10259,0.010992,1.5975,305.1497,106.7543,565.1464,5990.7301,4.5947,127.0382,0.084272,191.946,78.7027,0.025648,,17.2904,2.1105,10.6476
2004,0.94898,4.1623,88.438,0.56059,18.778,0.12091,0.42136,157.4604,3.642,2.6161,382.0211,78.1646,32.0637,1.7221,17.4956,37.6732,1.2934,58.9019,128.7616,0.39205,2.5062,0.58258,0.30778,11.1056,0.25717,15.5976,3.8948,337.5497,0.12458,4.994,49.4996,1.1029,0.19786,2.4439,3.9535,583.5923,0.32976,0.46166,0.2345,0.37739,59.7269,5229.2571,55.026,0.1429,0.94898,0.05496,6.925,7.6578,23.0052,24.9848,4.9498,7.7769,126.839,1.1981,55.7395,0.4067,0.11358,18.2944,29.0225,150.7883,6.3607,5.2139,0.76944,17.2861,5.2908,0.74746,0.051296,1.352,68.9576,420.9722,0.57158,0.76211,4.6826,0.29312,4.3199,886.2105,7.3427,0.38472,109.53,0.58258,0.20518,2.312,11.6112,1.9419,0.20152,1.6268,1.9859,7.361,41.6743,60.4084,2.9178,1153.3759,337.3591,446.6709,113.9907,46.1183,58.9721,492.7483,10.6622,1300.1902,19.225,174.6402,7.6175,0.043968,63.4825,5.8697,1.3923,7.7132,16.7848,1.9822,0.61555,50.3177,0.22924,13.1851,11.7855,1.7148,11.1825,1.8064,0.93066,163.6929,0.66685,0.8757,2.7589,0.087936,2.0702,1.5352,3.0888,440.9477,0.1429,4.5507,8.5444,2.3336,0.03664,43.2755,1.9199,12.4246,1.9602,0.065952,2.6674,181.1741,2.5282,36.0603,4.4224,0.81341,104.2188,0.003664,72.298,44.3274,2.1947,27.9636,131.4936,0.25282,5.8001,4.4847,4.0854,31.8695,74.0055,322.5403,66.8597,42.9091,0.95447,3.0045,101.8016,1575.3389,0.52762,0.010992,0.21251,0.35541,0.062288,0.21984,0.15022,0.07328,395.5105,5.2285,52.8756,0.73646,0.6412,28.451,42.733,16.6309,0.16122,0.59357,449.8183,481.882,355.2684,12.2891,10.4992,1.5609,1.0296,56.4343,45.2382,51.0615,260.4041,2.5611,4.3602,242.9892,0.17587,1.396,0.10992,33.4047,22.2808,244.2595,46.5035,0.10259,0.010992,1.7367,306.2364,113.148,566.74,6105.4301,5.6059,126.1112,0.058624,151.609,90.4752,0.025648,,18.8659,2.1434,9.4788
